elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.3,rampup,0.0
10.4,rampup,0.0
15.5,rampup,0.0
20.7,rampup,1.0
25.8,rampup,1.0
31.0,rampup,1.0
36.1,sustained,3.0
41.2,sustained,3.0
46.4,sustained,3.0
51.5,sustained,3.0
56.7,sustained,3.0
61.8,sustained,3.0
66.9,sustained,3.0
72.1,sustained,3.0
77.2,sustained,3.0
82.4,sustained,3.0
87.5,sustained,3.0
92.6,sustained,3.0
97.8,sustained,3.0
102.9,sustained,3.0
108.0,sustained,3.0
113.2,sustained,3.0
118.3,sustained,3.0
123.4,sustained,3.0
128.6,sustained,3.0
133.7,sustained,3.0
138.8,sustained,3.0
144.0,sustained,3.0
149.2,sustained,3.0
154.3,sustained,3.0
159.4,sustained,3.0
164.6,sustained,3.0
169.7,sustained,3.0
174.8,burst,3.0
180.0,burst,3.0
185.1,burst,3.0
190.2,burst,4.0
195.3,burst,4.0
200.5,burst,5.0
205.7,burst,5.0
210.8,burst,5.0
215.9,burst,5.0
221.0,burst,5.0
226.2,burst,5.0
231.3,burst,5.0
236.4,burst,5.0
241.5,burst,5.0
246.6,burst,4.0
251.7,burst,4.0
256.8,burst,4.0
261.9,burst,0.0
267.0,burst,0.0
