elapsed_s,phase,cpu_millicores
0.1,rampup,4.0
5.3,rampup,4.0
10.4,rampup,1.0
15.5,rampup,1.0
20.6,rampup,1.0
25.8,rampup,1.0
30.9,rampup,1.0
36.1,sustained,1.0
41.2,sustained,3.0
46.3,sustained,3.0
51.5,sustained,3.0
56.6,sustained,6.0
61.7,sustained,6.0
66.9,sustained,5.0
72.0,sustained,5.0
77.1,sustained,5.0
82.3,sustained,6.0
87.4,sustained,6.0
92.5,sustained,6.0
97.7,sustained,5.0
102.8,sustained,5.0
108.0,sustained,5.0
113.1,sustained,5.0
118.3,sustained,5.0
123.4,sustained,5.0
128.5,sustained,5.0
133.7,sustained,5.0
138.8,sustained,5.0
143.9,sustained,5.0
149.1,sustained,5.0
154.2,sustained,5.0
159.4,sustained,5.0
164.5,sustained,5.0
169.7,sustained,5.0
174.8,burst,6.0
179.9,burst,6.0
185.1,burst,6.0
190.2,burst,8.0
195.4,burst,8.0
200.5,burst,8.0
205.7,burst,10.0
210.8,burst,10.0
216.0,burst,10.0
221.1,burst,10.0
226.2,burst,10.0
231.4,burst,10.0
236.5,burst,10.0
241.6,burst,10.0
246.7,burst,9.0
251.9,burst,9.0
257.0,burst,9.0
262.1,burst,1.0
267.2,burst,1.0
